Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,13:08:00,Ewallet,522.83,4.761904762,26.1415,9
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.4,4.761904762,3.82,9
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,13:23:00,Credit card,324.31,4.761904762,16.2155,7
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2019-01-27,20:33:00,Ewallet,465.76,4.761904762,23.288,8
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,10:37:00,Ewallet,604.17,4.761904762,30.2085,5
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,18:30:00,Ewallet,597.73,4.761904762,29.8865,4
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,14:36:00,Ewallet,413.04,4.761904762,20.652,5
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2019-01-10,17:15:00,Credit card,72.52,4.761904762,3.626,7
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2019-02-20,13:27:00,Credit card,164.52,4.761904762,8.226,5
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,18:07:00,Ewallet,57.92,4.761904762,2.896,4
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,17:03:00,Cash,102.04,4.761904762,5.102,7
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,10:25:00,Ewallet,234.75,4.761904762,11.7375,7
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2019-02-07,16:48:00,Ewallet,431.9,4.761904762,21.595,8
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2019-03-29,19:21:00,Cash,713.8,4.761904762,35.69,5
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2019-01-15,16:19:00,Cash,562.32,4.761904762,28.116,4
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,11:03:00,Credit card,482.51,4.761904762,24.1255,4
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2019-01-01,10:39:00,Credit card,435.66,4.761904762,21.783,7
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,18:00:00,Credit card,164.01,4.761904762,8.2005,8
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,15:30:00,Ewallet,80.6,4.761904762,4.03,4
300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,41.3,5,21.51,451.71,2019-02-25,11:24:00,Ewallet,430.2,4.761904762,21.51,5
371-85-5789,B,Mandalay,Normal,Male,Health and beauty,42.3,3,13.197,277.137,2019-03-05,10:40:00,Ewallet,263.94,4.761904762,13.197,5
273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,43.3,2,3.32,69.72,2019-03-15,12:20:00,Credit card,66.4,4.761904762,3.32,4
636-48-8204,A,Yangon,Normal,Male,Electronic accessories,44.3,5,8.64,181.44,2019-02-17,11:15:00,Ewallet,172.8,4.761904762,8.64,9
549-59-1358,A,Yangon,Member,Male,Sports and travel,45.3,3,13.2945,279.1845,2019-03-02,17:36:00,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,46.3,8,21.036,441.756,2019-03-22,19:20:00,Credit card,420.72,4.761904762,21.036,8
649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,47.3,1,1.676,35.196,2019-02-08,15:31:00,Cash,33.52,4.761904762,1.676,6
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,48.3,2,8.767,184.107,2019-03-10,12:17:00,Credit card,175.34,4.761904762,8.767,7
